1724871480 D 21.85147 0 0
1724871480 C 20.69323 0 0
1724871480 B 25.32618 0 0
1724871480 A 19.535 4.01625 0.0
1724871491 D 21.27235 0 0
1724871491 C 20.69323 0 0
1724871491 B 25.32618 0 0
1724871491 A 19.535 4.01375 353.1
1724871501 D 21.85147 0 0
1724871501 C 21.27235 0 0
1724871501 B 25.32618 0 0
1724871501 A 19.535 4.0125 355.3
1724871511 D 22.43059 0 0
1724871511 C 21.27235 0 0
1724871511 B 25.32618 0 0
1724871511 A 19.535 4.01375 355.1
1724871521 D 22.43059 0 0
1724871521 C 21.27235 0 0
1724871521 B 25.32618 0 0
1724871521 A 19.535 4.01375 355.1
1724871532 D 22.43059 0 0
1724871532 C 21.27235 0 0
1724871532 B 25.32618 0 0
1724871532 A 19.535 4.01375 355.1
1724871543 D 22.43059 0 0
1724871543 C 21.27235 0 0
1724871543 B 25.32618 0 0
1724871543 A 19.535 4.0075 354.4
1724871554 D 22.43059 0 0
1724871554 C 21.27235 0 0
1724871554 B 25.32618 0 0
1724871554 A 19.535 4.0075 354.4
1724871564 D 22.43059 0 0
1724871564 C 21.27235 0 0
1724871564 B 25.32618 0 0
1724871564 A 19.535 4.0075 354.4
1724871574 D 22.43059 0 0
1724871574 C 21.27235 0 0
1724871574 B 25.32618 0 0
1724871575 A 19.535 4.0075 354.4
1724871585 D 22.43059 0 0
1724871585 C 21.27235 0 0
1724871585 B 25.32618 0 0
1724871585 A 19.535 4.0075 354.4
1724871595 D 22.43059 0 0
1724871595 C 21.85147 0 0
1724871595 B 25.32618 0 0
1724871595 A 19.535 4.0025 353.2
1724871660 D 23.58883 0 0
1724871660 C 21.85147 0 0
1724871660 B 25.32618 0 0
1724871661 A 19.535 3.99125 354.1
1724871671 D 23.58883 0 0
1724871671 C 21.85147 0 0
1724871671 B 25.32618 0 0
1724871671 A 19.535 3.99125 354.1
1724871681 D 23.58883 0 0
1724871682 C 21.27235 0 0
1724871682 B 25.32618 0 0
1724871682 A 19.535 3.99125 354.1
1724871692 D 23.58883 0 0
1724871692 C 21.27235 0 0
1724871692 B 25.32618 0 0
1724871692 A 19.535 3.99125 354.1
1724871703 D 24.16794 0 0
1724871703 C 21.27235 0 0
1724871703 B 25.32618 0 0
1724871703 A 19.535 3.99125 354.1
1724871713 D 24.16794 0 0
1724871713 C 21.27235 0 0
1724871713 B 24.74706 0 0
1724871713 A 19.535 3.99125 354.1
1724871724 D 24.16794 0 0
1724871724 C 21.27235 0 0
1724871724 B 25.32618 0 0
1724871724 A 19.535 3.99125 354.1
1724871734 D 24.16794 0 0
1724871734 C 21.27235 0 0
1724871735 B 25.32618 0 0
1724871735 A 19.535 3.99125 354.1
